AAAAAAA	0	1	0	0	6	0	0	0	0	19	0
AAAAAAB	0	8	0	0	4	0	0	0	3	0	0
AAAAAAC	0	1	0	0	0	0	0	5	5	0	0
AAAAAAD	0	2	0	0	0	0	0	0	0	19	0
AAAAAAE	0	4	0	4	0	0	0	5	7	21	0
AAAAAAF	0	2	0	0	7	0	0	5	1	0	0
AAAAAAG	0	1	0	2	3	1	0	5	5	0	0
AAAAAAH	0	16	0	0	0	0	0	0	0	19	0
AAAAAAI	0	4	0	0	0	0	0	1	0	0	0
AAAAAAJ	0	2	0	0	3	1	0	0	1	1	0
AAAAAAK	0	8	0	2	0	0	0	0	3	0	0
AAAAAAL	0	1	0	3	2	2	0	1	1	15	0
AAAAAAM	0	4	0	3	0	0	0	7	1	0	0
AAAAAAN	0	4	0	0	2	0	0	0	5	19	0
AAAAAAO	0	8	0	3	0	1	0	0	3	29	0
AAAAAAP	0	2	0	0	0	1	0	1	1	1	0
AAAAAAQ	0	8	0	3	5	10	11900	0	0	0	0
AAAAAAR	0	1	0	5	3	2	0	1	1	11	0
AAAAAAS	0	16	0	0	3	0	0	3	3	0	0
AAAAAAT	0	1	0	2	5	0	0	0	3	1	0
AAAAAAU	0	4	0	3	3	0	0	7	1	0	0
AAAAAAV	0	4	0	3	0	0	0	0	3	15	0
AAAAAAW	0	1	0	0	4	0	0	3	5	0	0
AAAAAAX	0	16	0	0	0	0	0	3	7	0	0
AAAAAAY	0	2	0	2	5	2	0	1	3	29	0
AAAAAAZ	0	8	0	2	0	2	0	0	7	31	0
AAAAABA	0	2	0	2	2	1	0	5	1	31	0
AAAAABB	0	1	0	0	0	0	0	5	0	0	0
AAAAABC	0	16	0	2	0	0	0	1	1	0	0
AAAAABE	0	8	0	3	0	0	0	5	5	1	0
AAAAABF	0	1	0	7	0	2	0	3	7	0	0
AAAAABG	0	4	0	4	5	1	0	1	7	31	0
AAAAABH	0	16	0	4	0	1	0	0	1	0	0
AAAAABI	0	2	0	5	2	0	0	0	7	19	0
AAAAABK	0	1	0	2	2	0	0	1	5	13	0
AAAAABL	0	1	0	3	3	1	0	7	5	23	0
AAAAABM	0	8	0	3	4	0	0	1	0	0	0
AAAAABN	0	1	0	4	0	0	0	3	5	0	0
AAAAABO	0	8	0	3	3	0	0	7	7	0	0
AAAAABP	0	16	0	0	2	1	0	1	0	1	0
AAAAABQ	0	16	0	0	0	0	0	0	1	0	0
AAAAABR	0	8	0	5	3	0	0	5	1	0	0
AAAAABS	0	1	0	0	5	0	0	1	0	31	0
AAAAABT	0	2	0	0	3	0	0	0	5	0	0
AAAAABU	0	1	0	7	0	1	0	0	3	11	0
AAAAABV	0	1	0	3	0	2	0	0	7	1	0
AAAAABW	0	1	0	2	2	0	0	7	7	11	0
AAAAABX	0	4	0	0	2	0	0	0	0	1	0
AAAAABY	0	1	0	4	5	14	17400	7	0	13	0
AAAAABZ	0	1	0	0	0	0	0	1	0	0	0
AAAAACA	0	4	0	0	2	0	0	1	5	11	0
AAAAACB	0	8	0	0	5	1	0	0	5	0	0
AAAAACC	0	16	0	2	4	0	0	5	0	13	0
AAAABAA	0	2	0	2	0	1	0	5	0	11	0
AAAABAB	0	4	0	0	2	0	0	3	1	0	0
AAAABAC	0	8	0	0	5	1	0	5	3	1	0
AAAABBA	0	4	0	5	3	0	0	1	1	0	0
AAAABBB	0	1	0	0	7	1	0	1	3	0	0
AAAABBC	0	16	0	4	4	1	0	0	0	19	0
AAAABCA	0	1	0	2	5	2	0	1	5	13	0
AAAABCB	0	16	0	6	3	1	0	5	5	1	0
AAAABCC	0	1	0	5	0	0	0	5	1	0	0
AAAACAA	0	2	0	2	0	1	0	0	7	1	0
AAAACAB	0	1	0	2	5	2	0	5	1	21	0
AAAACAC	0	16	0	6	1	1	0	7	5	0	0
AAAACAD	0	1	0	5	0	0	0	0	0	0	0
