	0	0	0	0	0	0	0	0	0	0	0
AAAAAAA	0	1	0	0	6	0	0	0	0	0	7
AAAAAAB	0	8	0	0	4	0	0	0	3	0	7
AAAAAAC	0	1	0	0	0	0	0	0	3	0	7
AAAAAAD	0	2	0	0	0	0	0	0	0	15	7
AAAAAAE	0	4	0	4	0	0	0	7	0	0	5
AAAAAAF	0	2	0	0	7	0	0	5	5	0	3
AAAAAAG	0	1	0	2	3	1	0	0	5	0	3
AAAAAAH	0	16	0	0	0	0	0	0	0	11	7
AAAAAAI	0	4	0	0	0	0	0	7	0	0	7
AAAAAAJ	0	2	0	0	3	1	0	0	3	15	3
AAAAAAK	0	8	0	2	0	0	0	0	5	0	7
AAAAAAL	0	1	0	3	2	6	13400	5	5	0	1
AAAAAAM	0	4	0	3	0	0	0	3	7	0	3
AAAAAAN	0	4	0	0	2	0	0	0	0	19	5
AAAAAAO	0	8	0	3	0	1	0	0	3	29	3
AAAAAAP	0	2	0	0	0	1	0	7	5	23	3
AAAAAAQ	0	8	0	3	5	10	11900	0	0	0	3
AAAAAAR	0	1	0	5	3	10	19900	7	7	0	1
AAAAAAS	0	16	0	0	3	0	0	5	0	0	7
AAAAAAT	0	1	0	2	5	0	0	0	3	11	3
AAAAAAU	0	4	0	3	3	0	0	0	7	0	3
AAAAAAV	0	4	0	3	0	0	0	0	0	0	7
AAAAAAW	0	1	0	0	4	0	0	5	0	0	7
AAAAAAX	0	16	0	0	0	0	0	0	0	0	7
AAAAAAY	0	2	0	2	5	10	24300	7	0	23	1
AAAAAAZ	0	8	0	2	0	10	22400	0	0	0	7
AAAAABA	0	2	0	2	2	1	0	5	5	31	1
AAAAABB	0	1	0	0	0	0	0	0	0	0	7
AAAAABC	0	16	0	2	0	0	0	3	5	0	3
AAAAABE	0	8	0	3	0	0	0	7	7	19	3
AAAAABF	0	1	0	7	0	14	24700	5	0	0	3
AAAAABG	0	4	0	4	3	1	0	3	0	0	3
AAAAABH	0	16	0	4	0	1	0	0	3	0	3
AAAAABI	0	2	0	5	2	0	0	0	7	0	3
AAAAABK	0	1	0	2	2	0	0	5	0	0	3
AAAAABL	0	1	0	3	3	1	0	7	5	29	1
AAAAABM	0	8	0	3	4	0	0	7	0	0	3
AAAAABN	0	1	0	4	0	0	0	3	0	0	7
AAAAABO	0	8	0	3	3	0	0	7	7	0	3
AAAAABP	0	16	0	0	2	1	0	5	0	23	3
AAAAABQ	0	16	0	0	0	0	0	0	7	0	7
AAAAABR	0	8	0	5	3	0	0	5	7	0	3
AAAAABS	0	1	0	0	5	0	0	5	0	0	7
AAAAABT	0	2	0	0	3	0	0	0	0	0	7
AAAAABU	0	1	0	7	0	1	0	0	5	0	3
AAAAABV	0	1	0	3	0	14	24000	0	0	15	7
AAAAABW	0	1	0	2	2	0	0	7	7	11	3
AAAAABX	0	4	0	0	2	0	0	0	0	13	7
AAAAABY	0	1	0	4	5	14	14900	0	0	0	3
AAAAABZ	0	1	0	0	0	0	0	7	0	0	7
AAAAACA	0	4	0	0	2	0	0	7	7	31	3
AAAAACB	0	8	0	0	5	1	0	0	5	0	3
AAAAACC	0	16	0	2	4	0	0	5	0	13	3
AAAABAA	0	2	0	2	0	1	0	7	0	0	3
AAAABAB	0	4	0	0	2	0	0	0	3	0	7
AAAABAC	0	8	0	0	5	1	0	0	0	11	7
AAAABBA	0	4	0	5	3	0	0	5	5	0	3
AAAABBB	0	1	0	0	7	1	0	7	3	0	2
AAAABBC	0	16	0	4	4	1	0	0	0	0	3
AAAABCA	0	1	0	2	5	14	17400	5	0	0	3
AAAABCB	0	16	0	6	3	1	0	0	5	23	3
AAAABCC	0	1	0	5	0	0	0	3	5	0	3
AAAACAA	0	2	0	2	2	1	0	0	0	27	3
AAAACAB	0	1	0	2	5	14	17400	7	5	0	1
AAAACAC	0	16	0	6	3	1	0	0	0	0	3
AAAACAD	0	1	0	5	0	0	0	0	0	0	7
AAAACBA	0	8	0	3	0	0	0	0	0	11	7
AAAACBB	0	8	0	2	3	0	0	0	5	0	3
AAAACBC	0	4	0	3	6	0	0	0	0	0	5
AAAACCA	0	16	0	0	5	0	0	5	3	0	3
AAAACCB	0	2	0	2	5	0	0	3	5	0	3
AAAACCC	0	8	0	3	0	0	0	7	0	0	7
AAABAAA	0	4	0	5	0	18	235000	5	0	27	3
AAABAAB	0	4	0	5	3	0	0	0	7	29	3
AAABAAC	0	1	0	0	7	0	0	0	0	15	7
AAABABA	0	2	0	2	2	1	0	5	0	27	3
AAABABB	0	1	0	2	5	0	0	3	0	0	3
AAABABC	0	16	0	6	3	0	0	7	0	0	3
AAABACA	0	8	0	3	0	1	0	7	5	11	3
AAABACB	0	8	0	2	3	0	0	0	5	0	3
AAABACC	0	4	0	3	6	1	0	3	0	0	3
AAABBAA	0	8	0	0	2	0	0	0	3	0	7
AAABBAB	0	8	0	3	0	1	0	3	0	11	3
AAABBAC	0	8	0	2	3	0	0	0	0	29	7
AAABBBA	0	2	0	5	0	0	0	0	3	15	7
AAABBBB	0	16	0	0	5	0	0	0	0	11	7
AAABBBC	0	2	0	2	5	0	0	0	0	0	3
AAABBBD	0	8	0	3	0	0	0	5	7	0	3
AAABBBE	0	1	0	4	3	1	0	0	3	0	3
AAABBBF	0	4	0	2	4	0	0	0	0	13	7
AAABBBG	0	4	0	4	5	0	0	5	3	15	3
AAABBBH	0	1	0	3	4	0	0	0	3	0	3
AAABBBI	0	4	0	3	0	0	0	0	0	13	7
AAABBBJ	0	2	0	5	0	0	0	5	5	0	3
AAABBCA	0	8	0	3	0	0	0	7	5	15	3
AAABBCB	0	2	0	4	0	0	0	7	7	0	3
AAABBCC	0	4	0	4	0	0	0	0	0	0	7
AAABCAA	0	8	0	0	4	1	0	5	3	13	3
AAABCAB	0	8	0	3	0	0	0	5	0	0	7
AAABCAC	0	2	0	4	0	0	0	0	0	19	7
AAABCBA	0	16	0	3	0	14	18800	7	0	21	3
